Model Name,Threshold,Precision,Recall,F1 Score,ROC AUC,Jaccard Score,True Positives (TP),False Positives (FP),True Negatives (TN),False Negatives (FN),Total Savings ($),Cost of Operation ($),Net Savings ($)
Base XGBoost (10 Features),0.02,0.20312979441546486,0.9258741258741259,0.3331655762455964,0.99440678691077,0.1998792270531401,1986,7791,545783,159,198600,93810,104790
Base XGBoost (10 Features),0.1,0.4473216552424473,0.8214452214452215,0.57922419460881,0.99440678691077,0.4076816288755206,1762,2177,551397,383,176200,60070,116130
Base XGBoost (10 Features),0.2,0.6150358896864375,0.7589743589743589,0.679465776293823,0.99440678691077,0.5145385587863464,1628,1019,552555,517,162800,61890,100910
Base XGBoost (10 Features),0.30000000000000004,0.6883230904302019,0.731002331002331,0.709021026452634,0.99440678691077,0.5492119089316988,1568,710,552864,577,156800,64800,92000
Base XGBoost (10 Features),0.4,0.7359223300970874,0.7067599067599067,0.7210463733650416,0.99440678691077,0.56377835626627,1516,544,553030,629,151600,68340,83260
Base XGBoost (10 Features),0.5,0.7502532928064843,0.6904428904428904,0.7191065792668123,0.99440678691077,0.5614101592115239,1481,493,553081,664,148100,71330,76770
Base XGBoost (10 Features),0.6,0.8362014021669854,0.6116550116550117,0.7065158858373721,0.99440678691077,0.5462114904246461,1312,257,553317,833,131200,85870,45330
Base XGBoost (10 Features),0.7000000000000001,0.8677685950413223,0.5874125874125874,0.700583819849875,0.99440678691077,0.5391527599486521,1260,192,553382,885,126000,90420,35580
Base XGBoost (10 Features),0.8,0.9283842794759826,0.4955710955710956,0.6462006079027356,0.99440678691077,0.4773237539290525,1063,82,553492,1082,106300,109020,-2720
Base XGBoost (10 Features),0.9,0.953340402969247,0.4191142191142191,0.5822538860103627,0.99440678691077,0.41068981269986293,899,44,553530,1246,89900,125040,-35140
Base XGBoost (10 Features),0.95,0.988795518207283,0.32913752913752914,0.4938789786638685,0.99440678691077,0.327914537854157,706,8,553566,1439,70600,143980,-73380
Base XGBoost (10 Features),0.98,0.9940209267563528,0.31002331002331,0.472636815920398,0.99440678691077,0.30944625407166126,665,4,553570,1480,66500,148040,-81540
Base XGBoost (10 Features),0.99,1.0,0.22144522144522144,0.36259541984732824,0.99440678691077,0.22144522144522144,475,0,553574,1670,47500,167000,-119500
Tuned XGBoost ADASYN (10 Features),0.02,0.04180153702563695,0.9813519813519813,0.08018742143156452,0.9916411606568658,0.04176835922773181,2105,48252,505322,40,210500,486520,-276020
Tuned XGBoost ADASYN (10 Features),0.1,0.06187702654017053,0.9608391608391609,0.11626660649310354,0.9916411606568658,0.06172137038811691,2061,31247,522327,84,206100,320870,-114770
Tuned XGBoost ADASYN (10 Features),0.2,0.07668514956055977,0.9477855477855478,0.14189000558347292,0.9916411606568658,0.07636254366525184,2033,24478,529096,112,203300,255980,-52680
Tuned XGBoost ADASYN (10 Features),0.30000000000000004,0.09071634788884879,0.9375291375291376,0.1654259038374532,0.9916411606568658,0.09017128508653932,2011,20157,533417,134,201100,214970,-13870
Tuned XGBoost ADASYN (10 Features),0.4,0.10157207023274806,0.9277389277389277,0.18309794359847265,0.9916411606568658,0.10077480123563073,1990,17602,535972,155,199000,191520,7480
Tuned XGBoost ADASYN (10 Features),0.5,0.1149169978957213,0.9165501165501165,0.20422791253311173,0.9916411606568658,0.1137270781512119,1966,15142,538432,179,196600,169320,27280
Tuned XGBoost ADASYN (10 Features),0.6,0.12822368421052632,0.9086247086247087,0.22473335255116747,0.9916411606568658,0.12659132242140816,1949,13251,540323,196,194900,152110,42790
