Model Name,Threshold,Precision,Recall,F1 Score,ROC AUC,Jaccard Score,True Positives (TP),False Positives (FP),True Negatives (TN),False Negatives (FN),Total Savings ($),Cost of Operation ($),Net Savings ($)
Base Stacking Classifiers (10 Features),0.1,0.2499023818820773,0.8951048951048951,0.3907203907203907,0.9924467602232454,0.24279210925644917,1920,5763,547811,225,192000,80130,111870
Base Stacking Classifiers (20 Features),0.2,0.49825523429710866,0.931934731934732,0.6493422121162904,0.9975789677390546,0.4807599807599808,1999,2013,551561,146,199900,34730,165170
Base Stacking Classifiers (50 Features),0.1,0.5367060764366236,0.91002331002331,0.6751988931165687,0.9966746677363506,0.5096605744125327,1952,1685,551889,193,195200,36150,159050
Base XGBoost (10 Features),0.1,0.4473216552424473,0.8214452214452215,0.57922419460881,0.99440678691077,0.4076816288755206,1762,2177,551397,383,176200,60070,116130
Base XGBoost (50 Features),0.02,0.41372226787181593,0.938927738927739,0.5743618993298161,0.9974852790246937,0.40288057611522304,2014,2854,550720,131,201400,41640,159760
Base XGBoost Model (20 Features),0.1,0.6438038436050364,0.9058275058275058,0.7526631803215185,0.9979980954109073,0.603416149068323,1943,1075,552499,202,194300,30950,163350
Tuned Stacking Classifiers ADASYN (10 Features),0.98,0.3185668902223791,0.8414918414918415,0.4621687363973883,0.99362264822673,0.3005328005328005,1805,3861,549713,340,180500,72610,107890
Tuned Stacking Classifiers ADASYN (20 Features),0.4,0.5065874451046242,0.9142191142191142,0.6519281914893617,0.9976910173275971,0.48360049321824905,1961,1910,551664,184,196100,37500,158600
Tuned Stacking Classifiers ADASYN (50 Features),0.6,0.5310307609282245,0.9174825174825175,0.6727055204238591,0.9975966700404626,0.5068246201390677,1968,1738,551836,177,196800,35080,161720
Tuned XGBoost ADASYN (10 Features),0.9,0.2747370025918585,0.84009324009324,0.4140625,0.9916411606568658,0.26108374384236455,1802,4757,548817,343,180200,81870,98330
Tuned XGBoost ADASYN (20 Features),0.99,0.42332517249054086,0.8867132867132868,0.5730641759566134,0.9959701477214945,0.4016047297297297,1902,2591,550983,243,190200,50210,139990
Tuned XGBoost ADASYN (50 Features),0.02,0.5942028985507246,0.8983682983682983,0.7152932442464737,0.9973076854440502,0.5567754984108639,1927,1316,552258,218,192700,34960,157740
Base Stacking Classifiers (10 Features),0.4,0.6717590571802706,0.7174825174825175,0.693868349864743,0.9924467602232454,0.5312392129789437,1539,752,552822,606,153900,68120,85780
Base Stacking Classifiers (20 Features),0.7000000000000001,0.8413555992141454,0.7986013986013986,0.819421191102607,0.9975789677390546,0.6940842787682334,1713,323,553251,432,171300,46430,124870
Base Stacking Classifiers (50 Features),0.8,0.9095534200113058,0.7501165501165501,0.8221768012263669,0.9966746677363506,0.6980477223427332,1609,160,553414,536,160900,55200,105700
Base XGBoost (10 Features),0.4,0.7359223300970874,0.7067599067599067,0.7210463733650416,0.99440678691077,0.56377835626627,1516,544,553030,629,151600,68340,83260
Base XGBoost (50 Features),0.5,0.9258426966292135,0.7682983682983683,0.8397452229299363,0.9974852790246937,0.7237593324549846,1648,132,553442,497,164800,51020,113780
Base XGBoost Model (20 Features),0.5,0.8965336134453782,0.7958041958041958,0.8431711533712027,0.9979980954109073,0.728864218616567,1707,197,553377,438,170700,45770,124930
Tuned Stacking Classifiers ADASYN (10 Features),0.99,0.8875530410183875,0.585081585081585,0.705254284911492,0.99362264822673,0.5447048611111112,1255,159,553415,890,125500,90590,34910
Tuned Stacking Classifiers ADASYN (20 Features),0.99,0.7820627802690583,0.813053613053613,0.7972571428571429,0.9976910173275971,0.6628658304827062,1744,486,553088,401,174400,44960,129440
Tuned Stacking Classifiers ADASYN (50 Features),0.99,0.8105310531053105,0.8396270396270397,0.8248225326310968,0.9975966700404626,0.7018706157443492,1801,421,553153,344,180100,38610,141490
Tuned XGBoost ADASYN (10 Features),0.98,0.7482993197278912,0.6666666666666666,0.7051282051282052,0.9916411606568658,0.5445544554455446,1430,481,553093,715,143000,76310,66690
Tuned XGBoost ADASYN (50 Features),0.9,0.9337047353760446,0.7813519813519814,0.8507614213197969,0.9973076854440502,0.7402826855123675,1676,119,553455,469,167600,48090,119510
Base Stacking Classifiers (20 Features),0.30000000000000004,0.5470702582615941,0.9184149184149184,0.685694396101636,0.9975789677390546,0.5217161016949152,1970,1631,551943,175,197000,33810,163190
Base XGBoost (10 Features),0.2,0.6150358896864375,0.7589743589743589,0.679465776293823,0.99440678691077,0.5145385587863464,1628,1019,552555,517,162800,61890,100910
Base XGBoost (50 Features),0.1,0.7,0.8680652680652681,0.7750260145681581,0.9974852790246937,0.6326877336051648,1862,798,552776,283,186200,36280,149920
